gene_symbol,acrophase
Mrpl20,8.0
Mrpl21,8.0
Mrpl22,16.0
Mrpl23,8.0
Mrpl24,16.0
Mrpl28,8.0
Mrpl30,16.0
Mrpl33,8.0
Mrpl34,8.0
Mrpl35,8.0
Mrpl36,8.0
Mrpl37,16.0
Mrpl4,16.0
Mrpl40,8.0
Mrpl41,0.0
Mrpl42,8.0
Mrpl44,8.0
Mrpl46,16.0
Mrpl47,16.0
Mrpl49,16.0
Mrpl50,8.0
Mrpl51,8.0
Mrpl52,16.0
Mrpl54,0.0
Mrpl55,8.0
Mrps10,8.0
Mrps11,8.0
Mrps12,8.0
Mrps14,16.0
Mrps15,8.0
Mrps16,8.0
Mrps17,8.0
Mrps18a,16.0
Mrps18b,8.0
Mrps18c,16.0
Mrps2,8.0
Mrps21,8.0
Mrps22,8.0
Mrps23,8.0
Mrps25,0.0
Mrps26,8.0
Mrps27,8.0
Mrps28,8.0
Mrps33,8.0
Mrps34,0.0
Mrps35,8.0
Mrps36,8.0
Mrps6,0.0
Mrps7,0.0
Mrps9,16.0
Mrto4,8.0
Msh2,8.0
Msh6,8.0
Msl3,16.0
Msra,16.0
Mtbp,8.0
Mtch2,8.0
Mtf2,0.0
Mtfp1,8.0
Mthfd1,8.0
Mthfd1l,8.0
Mthfd2,8.0
Mtpap,16.0
Mtpn,16.0
Mum1,8.0
Mut,8.0
Mutyh,8.0
Mybbp1a,8.0
Myc,8.0
Mycbp,8.0
Myef2,16.0
Myeov2,16.0
Myg1,8.0
Myl12a,16.0
Myst2,8.0
Mzt1,16.0
Naa10,8.0
Naa15,16.0
Naa16,0.0
Naa20,8.0
Naa38,8.0
Naa40,8.0
Naa50,8.0
Nabp2,16.0
Nae1,8.0
Nanp,8.0
Nans,8.0
Nap1l1,8.0
Nap1l4,0.0
Nars,16.0
Nasp,8.0
Nat15,8.0
Ncapd2,16.0
Ncapd3,8.0
Ncapg,16.0
Ncapg2,8.0
Ncaph,16.0
Ncaph2,8.0
Ncbp1,8.0
Ncbp2,8.0
Ncf4,0.0
Ncl,0.0
Ncln,8.0
Ncoa4,16.0
Ncs1,8.0
Ndc80,16.0
Nde1,16.0
Ndufa1,16.0
Ndufa10,8.0
Ndufa11,8.0
Ndufa12,8.0
Ndufa2,8.0
Ndufa3,8.0
Ndufa4,8.0
Ndufa5,16.0
Ndufa7,8.0
Ndufa8,8.0
Ndufa9,8.0
Ndufab1,8.0
Ndufaf1,0.0
Ndufaf2,8.0
Ndufaf3,16.0
Ndufaf4,0.0
Ndufb10,8.0
Ndufb11,8.0
Ndufb2,8.0
Ndufb3,8.0
Ndufb4,8.0
Ndufb5,16.0
Ndufb6,8.0
Ndufb7,8.0
Ndufb8,8.0
Ndufb9,8.0
Ndufc1,8.0
Ndufc2,16.0
Ndufs1,8.0
Ndufs2,16.0
Ndufs4,8.0
Ndufs5,8.0
Ndufs6,8.0
Ndufs7,8.0
Ndufs8,8.0
Ndufv1,8.0
Ndufv2,0.0
Ndufv3,16.0
Necap2,16.0
Nedd1,16.0
Nedd8,8.0
Nefh,8.0
Neil3,16.0
Nek2,16.0
Nfx1,8.0
Nfyb,16.0
Nfyc,16.0
Ngdn,16.0
Ngfrap1,8.0
Nhp2,8.0
Nhp2l1,8.0
Nif3l1,8.0
Ninj1,0.0
Nip7,8.0
Nipsnap3b,8.0
Nkap,16.0
Nkg7,8.0
Nmd3,0.0
Nme1,8.0
Nme2,8.0
Nme4,8.0
Nme6,8.0
Nmnat3,8.0
Nmral1,8.0
Nmt1,8.0
Noc4l,16.0
Nol12,16.0
Nol7,16.0
Nolc1,8.0
Nono,0.0
Nop10,8.0
Nop14,8.0
Nop16,8.0
Nop2,8.0
Nop56,0.0
Nop58,8.0
Nosip,8.0
Npat,0.0
Npepl1,8.0
Npl,16.0
Npm1,8.0
Nptn,8.0
Nr0b2,8.0
Nr2c2ap,0.0
Nr3c1,8.0
Nrf1,16.0
Nrm,8.0
Nsg1,8.0
Nsl1,8.0
Nsmce1,16.0
Nsmce2,0.0
Nsun5,8.0
Nt5c,8.0
Nt5c3l,8.0
Nubp1,8.0
Nubp2,8.0
Nucks1,16.0
Nudc,8.0
Nudcd2,8.0
Nudt1,16.0
Nudt14,8.0
Nudt2,8.0
Nudt21,8.0
Nudt5,8.0
Nuf2,16.0
Nup107,8.0
Nup133,8.0
Nup155,8.0
Nup160,8.0
Nup188,8.0
Nup205,16.0
Nup210,16.0
Nup214,16.0
Nup35,16.0
Nup37,16.0
Nup43,8.0
Nup54,0.0
Nup62,8.0
Nup85,8.0
Nup88,8.0
Nup93,8.0
Nusap1,16.0
Nutf2,8.0
Nvl,8.0
Nxf1,8.0
Nxt1,8.0
Oat,8.0
Obfc1,8.0
Odf2,16.0
Odf2l,16.0
Ogdh,8.0
Oip5,8.0
Ola1,8.0
Opa1,0.0
Orc2,8.0
Orc3,8.0
Orc5,8.0
Orc6,8.0
Ormdl1,0.0
Ormdl2,16.0
Osbpl2,16.0
Osgep,8.0
Ost4,8.0
Ostc,8.0
Otos,8.0
Oxct1,8.0
P4hb,8.0
Pa2g4,8.0
Pabpn1,8.0
Pafah1b2,0.0
Paics,8.0
Pak1,8.0
Pak1ip1,16.0
Palb2,0.0
Pam16,16.0
Paox,8.0
Papola,8.0
Parl,8.0
Parp1,8.0
Parp2,8.0
Pars2,8.0
Pask,8.0
Pbk,8.0
Pcbp1,8.0
Pcbp2,8.0
Pcid2,8.0
Pcif1,16.0
Pck2,16.0
Pcm1,8.0
Pcmt1,8.0
Pcna,8.0
Pcnt,16.0
Pcyt2,8.0
Pdcd10,16.0
Pdcd2l,0.0
Pdcd6,8.0
Pdcl,16.0
Pdcl3,8.0
Pddc1,8.0
Pdia3,8.0
Pdia4,0.0
Pdia6,0.0
Pdik1l,16.0
Pdk3,16.0
Pdlim1,8.0
Pds5a,8.0
Pds5b,8.0
Pdss1,8.0
Pes1,8.0
Pex11b,8.0
Pex19,8.0
Pex2,0.0
Pfas,8.0
Pfdn1,8.0
Pfdn2,8.0
Pfkl,0.0
Pfkp,0.0
Pgam1,8.0
Pgk1,8.0
Pgm1,8.0
Pgm2,8.0
Pgrmc1,0.0
Phb,8.0
Phb2,8.0
Phf5a,8.0
Phf6,16.0
Phgdh,8.0
Phka2,16.0
Phrf1,0.0
Pigk,8.0
Pigq,16.0
Pigu,8.0
Pigyl,8.0
Pih1d1,16.0
Pik3cg,16.0
Pin1,16.0
Pinx1,8.0
Pitpnb,8.0
Pitrm1,8.0
Pkig,8.0
Pknox1,16.0
Pla2g4a,8.0
Plk1,16.0
Plk4,8.0
Plp2,8.0
Pmf1,16.0
Pmm1,8.0
Pmm2,16.0
Pmpca,8.0
Pms1,16.0
Pms2,8.0
Pnkd,8.0
Pnkp,16.0
Pnn,0.0
Pno1,8.0
Pnpt1,16.0
Poc1a,16.0
Pola1,8.0
Pola2,8.0
Polb,16.0
Pold1,8.0
Pold2,8.0
Pold3,8.0
Poldip2,8.0
Poldip3,16.0
Pole,8.0
Pole2,8.0
Pole3,8.0
Pole4,8.0
Polr1a,16.0
Polr1b,8.0
Polr1c,8.0
Polr1d,16.0
Polr2a,16.0
Polr2c,16.0
Polr2d,8.0
Polr2e,8.0
Polr2f,0.0
Polr2g,8.0
Polr2h,0.0
Polr2i,8.0
Polr2j,8.0
Polr2k,8.0
Polr2l,8.0
Polr3h,8.0
Polr3k,8.0
Pomp,8.0
Pomt1,16.0
Pop4,8.0
Pop5,0.0
Pop7,8.0
Pot1a,8.0
Ppa1,8.0
Ppan,8.0
Ppat,8.0
Pphln1,8.0
Ppia,8.0
Ppib,8.0
Ppid,8.0
Ppie,8.0
Ppif,8.0
Ppig,8.0
Ppih,8.0
Ppil1,8.0
Ppip5k2,16.0
Ppm1f,8.0
Ppm1g,8.0
Ppp1ca,16.0
Ppp1cb,8.0
Ppp1r15b,8.0
Ppp1r7,8.0
Ppp1r8,8.0
Ppp2r1a,8.0
Ppp2r1b,8.0
Ppp2r3c,16.0
Ppp2r4,16.0
Ppp2r5d,16.0
Ppp4c,8.0
Ppp4r1,8.0
Ppp6c,16.0
Pprc1,8.0
Pqbp1,16.0
Pradc1,8.0
Prc1,16.0
Prdx1,8.0
Prdx3,8.0
Prdx4,8.0
Preb,8.0
Prelid1,8.0
Prim1,8.0
Prim2,8.0
Prkab1,16.0
Prkag1,8.0
Prkcsh,16.0
Prkdc,0.0
Prl14l,8.0
Prmt1,0.0
Prmt5,8.0
Prmt7,8.0
Prpf3,8.0
Prpf31,8.0
Prpf38a,16.0
Prpf38b,8.0
Prpf4,16.0
Prps1,8.0
Prps1l3,0.0
Prps2,8.0
Prtn3,8.0
Psat1,8.0
Psd4,8.0
Psen1,16.0
Psip1,8.0
Psma1,8.0
Psma3,16.0
Psma4,8.0
Psma5,0.0
Psma6,8.0
Psma7,8.0
Psmb2,16.0
Psmb3,8.0
Psmb4,8.0
Psmb6,8.0
Psmb7,16.0
Psmb8,8.0
Psmc1,16.0
Psmc2,8.0
Psmc3,8.0
Psmc3ip,8.0
Psmc4,8.0
Psmd1,8.0
Psmd10,8.0
Psmd12,8.0
Psmd13,8.0
Psmd14,8.0
Psmd2,8.0
Psmd4,8.0
Psmd5,8.0
Psmd6,16.0
Psmd7,8.0
Psmd8,8.0
Psmd9,8.0
Psme2,8.0
Psme3,8.0
Psmf1,8.0
Psmg1,8.0
Psmg2,8.0
Psmg3,16.0
Psmg4,8.0
Psph,8.0
Psrc1,16.0
Ptbp1,8.0
Ptcd3,8.0
Ptdss2,16.0
Pter,8.0
Ptges3,8.0
Ptma,8.0
Ptp4a1,8.0
Ptpn7,8.0
Ptrh2,8.0
Pttg1ip,0.0
Puf60,8.0
Pum2,8.0
Pus1,8.0
Pus10,16.0
Pus7,8.0
Pusl1,0.0
Pwp1,8.0
Pycard,8.0
Pycrl,0.0
Qars,16.0
Qdpr,8.0
Qrich1,8.0
Qtrtd1,8.0
RBM4B,0.0
Rab1b,8.0
Rab31,8.0
Rab3gap2,8.0
Rab8a,16.0
Rab9,16.0
Rabepk,0.0
Rabif,16.0
Rabl5,8.0
Racgap1,16.0
Rad1,8.0
Rad18,8.0
Rad21,16.0
Rad23a,8.0
Rad50,8.0
Rad51,8.0
Rad51ap1,8.0
Rad51l1,16.0
Rad54b,8.0
Rad54l,8.0
Rad9,16.0
Raf1,8.0
Ramp2,8.0
Ran,8.0
Ranbp1,8.0
Ranbp2,16.0
Ranbp3,8.0
Rangap1,16.0
Rars,16.0
Rars2,8.0
Rasgrp2,0.0
Rassf1,16.0
Rbbp4,8.0
Rbbp5,8.0
Rbbp7,8.0
Rbbp8,8.0
Rbck1,0.0
Rbl1,16.0
Rbm10,16.0
Rbm12,8.0
Rbm28,8.0
Rbm3,8.0
Rbm42,16.0
Rbm43,8.0
Rbm48,16.0
Rbm6,16.0
Rbm8a,8.0
Rbmx2,0.0
Rbmxl1,8.0
Rbx1,8.0
Rcc1,8.0
Rcc2,8.0
Rce1,8.0
Rdbp,8.0
Rdm1,16.0
Rdx,16.0
Recql,8.0
Reep4,16.0
Reep5,16.0
Rer1,8.0
Retsat,8.0
Rexo2,8.0
Rexo4,0.0
Rfc1,8.0
Rfc2,0.0
Rfc3,8.0
Rfc4,8.0
Rfc5,8.0
Rfwd3,8.0
Rgs10,8.0
Rgs12,8.0
Rheb,8.0
Rhebl1,0.0
Rhno1,16.0
Rhoa,8.0
Rif1,8.0
Riok2,8.0
Ripk3,8.0
Rlim,16.0
Rmi1,8.0
Rmnd1,8.0
Rnaseh1,8.0
Rnaseh2a,8.0
Rnaseh2b,8.0
Rnaseh2c,16.0
Rnf219,0.0
Rnf4,16.0
Rnf7,8.0
Rnf8,8.0
Rngtt,8.0
Rnmtl1,8.0
Rnps1,8.0
Rogdi,0.0
Romo1,8.0
Rpa1,8.0
Rpa2,8.0
Rpa3,8.0
Rpain,8.0
Rpap3,8.0
Rpf1,8.0
Rpf2,8.0
Rpl22l1,0.0
Rpl31,8.0
Rpl36al,8.0
Rpl39,8.0
Rpl7l1,0.0
Rpn1,8.0
Rpn2,8.0
Rpp21,8.0
Rpp30,16.0
Rpp38,8.0
Rps15,8.0
Rps19bp1,0.0
Rps27l,8.0
Rpusd1,8.0
Rqcd1,8.0
Rrm1,8.0
Rrm2,8.0
Rrp1,8.0
Rrp12,8.0
Rrp15,8.0
Rrp1b,8.0
Rrp36,8.0
Rrp8,16.0
Rsrc1,16.0
Rtel1,16.0
Rtn3,8.0
Ruvbl2,8.0
Rwdd1,0.0
S100a1,0.0
S100a10,8.0
S100a13,16.0
S1pr3,8.0
SNORD88,8.0
SNORD93,16.0
Saal1,8.0
Sae1,8.0
Samm50,16.0
Sap30bp,8.0
Sar1a,8.0
Sarnp,8.0
Sars,0.0
Sars2,16.0
Sass6,8.0
Scamp2,8.0
Scamp3,8.0
Scamp4,16.0
Scarb1,8.0
Scfd1,8.0
Sdf2l1,8.0
Sdhb,8.0
Sdhc,8.0
Sdhd,16.0
Sdr39u1,0.0
Sec11a,16.0
Sec11c,16.0
Sec23b,8.0
Sec61a1,8.0
Sec61b,8.0
Sec61g,8.0
Selplg,8.0
Selrc1,8.0
Sephs1,16.0
Serf1,8.0
Serpinb1a,8.0
Set,8.0
Setdb1,0.0
Setdb2,8.0
Sf3a1,8.0
Sf3a3,8.0
Sf3b3,8.0
Sf3b4,8.0
Sf3b5,8.0
Sfr1,0.0
Sfxn1,8.0
Sgk3,8.0
Sgol1,16.0
Sgta,16.0
Sh3bgrl3,8.0
Sh3glb2,8.0
Shcbp1,16.0
Shmt1,8.0
Shmt2,8.0
Shoc2,16.0
Shq1,8.0
Sigmar1,8.0
Sin3a,16.0
Sin3b,16.0
Sip1,8.0
Siva1,8.0
Ska2,16.0
Ska3,16.0
Skap2,8.0
Skp2,8.0
Slbp,8.0
Slc10a3,8.0
Slc19a1,8.0
Slc20a1,8.0
Slc22a3,8.0
Slc25a10,8.0
Slc25a12,8.0
Slc25a17,16.0
Slc25a19,16.0
Slc25a3,8.0
Slc25a39,8.0
Slc25a5,8.0
Slc29a1,8.0
Slc31a1,8.0
Slc35a4,8.0
Slc35b2,8.0
Slc38a10,8.0
Slc38a2,0.0
Slc39a11,16.0
Slc39a9,16.0
Slc3a2,0.0
Slc43a1,8.0
Slc43a3,8.0
Slc7a6,8.0
Slco4a1,0.0
Slfn9,8.0
Slirp,16.0
Slmo2,8.0
Smad2,0.0
Smarca4,16.0
Smarca5,8.0
Smarcb1,8.0
Smarcc1,8.0
Smarce1,8.0
Smc1a,8.0
Smc2,16.0
Smc4,16.0
Smc5,8.0
Smc6,8.0
Smchd1,8.0
Smg7,8.0
Smpd4,8.0
Sms,0.0
Smu1,8.0
Smyd3,8.0
Smyd4,8.0
Smyd5,8.0
Snapc5,8.0
Snd1,8.0
Snf8,8.0
Snhg3,8.0
Snora74a,8.0
Snord22,8.0
Snord45c,8.0
Snord87,8.0
Snrnp25,8.0
Snrnp27,8.0
Snrnp40,8.0
Snrnp70,8.0
Snrpa,8.0
Snrpa1,8.0
Snrpb,8.0
Snrpb2,16.0
Snrpc,8.0
Snrpd1,8.0
Snrpd2,8.0
Snrpd3,8.0
Snrpe,8.0
Snrpf,8.0
Snrpg,8.0
Snx1,16.0
Snx2,16.0
Snx3,16.0
Snx5,0.0
Sod1,8.0
Sp3,8.0
Spag5,16.0
Spag7,0.0
Spata24,8.0
Spata5,8.0
Spc24,16.0
Spc25,16.0
Spcs1,16.0
Spice1,8.0
Spryd3,8.0
Spsb3,16.0
Sptssa,16.0
Sqle,8.0
Srek1,0.0
Srfbp1,8.0
Srgap2,16.0
Srl,8.0
Srm,0.0
Srp19,16.0
Srp54a,16.0
Srp68,16.0
Srp9,16.0
Srpk1,8.0
Srpr,8.0
Srrm1,8.0
Srrt,8.0
Srsf1,8.0
Srsf10,8.0
Srsf3,8.0
Srsf7,0.0
Ssb,8.0
Ssna1,16.0
Ssr1,8.0
Ssr2,8.0
Ssr3,16.0
Ssr4,8.0
Ssrp1,8.0
Sssca1,8.0
Ssu72,8.0
St13,8.0
Stag1,0.0
Stag2,8.0
Stard3nl,8.0
Steap3,8.0
Stil,16.0
Stip1,8.0
Stk16,8.0
Stmn1,8.0
Stom,16.0
Stoml2,8.0
Stra13,8.0
Strada,0.0
Stt3a,8.0
Stub1,8.0
Sucla2,8.0
Sumo2,8.0
Sumo3,8.0
Supt16h,8.0
Surf1,8.0
Suv39h1,8.0
Swi5,16.0
Syce2,8.0
Syncrip,8.0
Tacc3,16.0
Tada1,8.0
Tada2a,0.0
Taf1d,8.0
Taf6,8.0
Taf9,16.0
Tamm41,16.0
Tank,0.0
Tardbp,8.0
Tars,0.0
Tbc1d15,8.0
Tbcb,8.0
Tbccd1,16.0
Tbl2,16.0
Tbl3,8.0
Tbp,16.0
Tbrg4,8.0
Tceb1,8.0
Tceb2,8.0
Tcf19,8.0
Tcof1,8.0
Tcp1,8.0
Tctn3,8.0
Tdg,16.0
Tdp1,16.0
Tdp2,16.0
Tdrkh,8.0
Tecr,8.0
Ten1,16.0
Terf1,16.0
Tex10,16.0
Tex2,8.0
Tex261,8.0
Tex30,8.0
Tfam,8.0
Tfb1m,8.0
Tfdp1,8.0
Tfg,8.0
Tfrc,16.0
Th1l,16.0
Thap7,8.0
Thoc3,16.0
Thoc5,0.0
Thoc6,16.0
Thoc7,8.0
Thop1,0.0
Thrap3,8.0
Thumpd1,16.0
Thumpd3,0.0
Thyn1,8.0
Ticam2,8.0
Timeless,8.0
Timm10,8.0
Timm13,8.0
Timm17a,0.0
Timm17b,0.0
Timm23,8.0
Timm44,8.0
Timm50,8.0
Timm8a1,8.0
Timm8b,8.0
Timm9,8.0
Tinf2,16.0
Tipin,8.0
Tiprl,16.0
Tk1,8.0
Tm6sf1,8.0
Tm9sf1,8.0
Tm9sf4,8.0
Tma16,8.0
Tma7,16.0
Tmed1,0.0
Tmed10,16.0
Tmed2,8.0
Tmed3,8.0
Tmem106c,8.0
Tmem107,8.0
Tmem109,8.0
Tmem11,8.0
Tmem126a,8.0
Tmem134,0.0
Tmem147,8.0
Tmem14c,8.0
Tmem161a,8.0
Tmem167,8.0
Tmem183a,8.0
Tmem186,16.0
Tmem199,8.0
Tmem205,8.0
Tmem206,16.0
Tmem208,8.0
Tmem209,16.0
Tmem216,8.0
Tmem234,8.0
Tmem41a,8.0
Tmem43,16.0
Tmem48,8.0
Tmem60,16.0
Tmem97,0.0
Tmem98,8.0
Tmpo,16.0
Tmsb10,8.0
Tmx1,16.0
Tmx2,8.0
Tnfrsf18,0.0
Tnpo3,16.0
Toe1,8.0
Tomm22,16.0
Tomm34,8.0
Tomm40l,8.0
Tomm5,8.0
Tomm6,8.0
Tomm7,8.0
Tonsl,8.0
Top1mt,8.0
Top2a,16.0
Top3a,16.0
Topbp1,0.0
Tor1a,8.0
Tor1aip2,8.0
Tor2a,16.0
Tor3a,0.0
Tox4,8.0
Tpd52l2,8.0
Tpm1,8.0
Tpm2,8.0
Tpp2,16.0
Tpr,8.0
Tpt1,0.0
Tpx2,16.0
Tra2b,8.0
Traf2,16.0
Traf7,8.0
Traip,8.0
Trap1,8.0
Trappc1,8.0
Trappc12,0.0
Trappc2l,8.0
Trappc3,16.0
Trappc6a,8.0
Trf,8.0
Triap1,16.0
Trim28,0.0
Trim37,8.0
Trip13,16.0
Trmt2a,8.0
Trmt2b,16.0
Trmt5,16.0
Trmt6,8.0
Trmt61b,16.0
Trnt1,16.0
Troap,16.0
Trp53,8.0
Trpc2,8.0
Trub2,8.0
Tsc2,8.0
Tsen15,8.0
Tsen2,16.0
Tsfm,8.0
Tsnax,8.0
Tspan6,8.0
Tsr1,8.0
Tssc1,16.0
Tssc4,8.0
Tst,8.0
Tsta3,0.0
Ttc1,16.0
Ttc27,16.0
Ttc37,8.0
Ttc5,16.0
Ttc9c,8.0
Ttf2,8.0
Tti1,0.0
Ttk,16.0
Ttyh2,8.0
Tuba1a,16.0
Tuba1b,8.0
Tuba1c,16.0
Tuba4a,8.0
Tuba8,8.0
Tubb4b,16.0
Tubb5,8.0
Tubb6,8.0
Tubd1,16.0
Tube1,8.0
Tubg2,8.0
Tubgcp2,0.0
Tubgcp3,16.0
Tubgcp4,8.0
Tubgcp6,16.0
Tufm,16.0
Twistnb,8.0
Txn1,8.0
Txndc12,16.0
Txndc17,8.0
Txnl1,8.0
Tyms,8.0
Tyrobp,8.0
Tyw1,8.0
U2af1,8.0
U2af1l4,16.0
U2surp,8.0
Uap1,8.0
Uba1,8.0
Uba2,8.0
Uba3,16.0
Ubap2,16.0
Ubap2l,8.0
Ubash3a,0.0
Ube2a,16.0
Ube2c,16.0
Ube2e1,8.0
Ube2e3,8.0
Ube2g1,8.0
Ube2g2,8.0
Ube2k,8.0
Ube2n,8.0
Ube2t,16.0
Ubl4,8.0
Ubl5,16.0
Ubr7,8.0
Ubtf,0.0
Ubxn1,8.0
Uchl3,8.0
Uchl5,8.0
Uck1,8.0
Ufc1,16.0
Ufd1l,16.0
Ufm1,16.0
Uhrf1,8.0
Ulbp1,8.0
Umps,8.0
Unc50,16.0
Ung,0.0
Upf3a,16.0
Uqcr10,8.0
Uqcr11,8.0
Uqcrb,8.0
Uqcrq,8.0
Urod,16.0
Usf1,16.0
Usmg5,8.0
Usp1,8.0
Usp10,0.0
Usp14,8.0
Usp15,16.0
Usp37,0.0
Usp5,16.0
Usp8,8.0
Uspl1,0.0
Utp11l,16.0
Utp15,16.0
Utp3,8.0
Utp6,0.0
Uxs1,8.0
Uxt,8.0
VKORC1,8.0
Vamp3,16.0
Vars,0.0
Vbp1,16.0
Vdac1,8.0
Vdac2,8.0
Vdac3,8.0
Vps11,16.0
Vps16,8.0
Vps29,8.0
Vps35,8.0
Vps36,8.0
Vps72,16.0
Vrk1,8.0
Vrk2,8.0
Vti1a,8.0
Wars,8.0
Wbp4,16.0
Wbp5,16.0
Wdhd1,8.0
Wdr1,16.0
Wdr12,0.0
Wdr18,8.0
Wdr31,8.0
Wdr36,16.0
Wdr4,8.0
Wdr43,8.0
Wdr45l,8.0
Wdr46,8.0
Wdr55,16.0
Wdr61,16.0
Wdr67,16.0
Wdr74,8.0
Wdr76,8.0
Wdr77,8.0
Wdr8,16.0
Wdr83,8.0
Wdr85,16.0
Whsc1,8.0
Wibg,16.0
Wrap53,8.0
Wrn,16.0
Xist,0.0
Xpo1,16.0
Xpo5,8.0
Xpot,8.0
Xrcc1,8.0
Xrcc2,16.0
Xrcc3,8.0
Xrcc5,0.0
Xrcc6,8.0
Xrn2,16.0
Yars,0.0
Ybx1,8.0
Yeats2,0.0
Yif1b,8.0
Yipf1,16.0
Ywhab,8.0
Ywhag,8.0
Ywhah,8.0
Ywhaq,8.0
Zbtb1,0.0
Zbtb8a,0.0
Zbtb8os,8.0
Zc3h15,8.0
Zcchc17,8.0
Zcchc8,16.0
Zcwpw1,8.0
Zdhhc12,0.0
Zdhhc13,16.0
Zdhhc16,8.0
Zdhhc6,8.0
Zfand4,16.0
Zfp143,8.0
Zfp330,16.0
Zfp367,8.0
Zfp41,8.0
Zfp410,8.0
Zfp414,16.0
Zfp422,0.0
Zfp472,8.0
Zfp60,16.0
Zfp629,0.0
Zfp808,8.0
Zfp956,0.0
Zfyve21,0.0
Zhx1,0.0
Zmat5,16.0
Zmpste24,16.0
Zmym1,8.0
Znhit1,16.0
Znhit3,8.0
Znrd1,0.0
Zranb2,8.0
Zranb3,8.0
Zswim1,8.0
Zw10,8.0
Zwint,8.0
l7Rn6,8.0
